group,family,channel,sigma_psf_screen_px,d_rec_screen_px,symRes,sub_screen_px,symCellPx_screen_px,colCellPx_screen_px,colorBits,colorFmt,calibMode,denseN,winFrac,pilotSide_screen_px,frames,bitsPerCell,cellErrRate,bitErrRate,rsBlockFail,fileSuccess,meets,calibOverhead,netThroughput_bit_per_screenpx2,effectiveRate_MBps
A,符号型,web_locked,1.031678,5,8×8,1.5,12,,0,无颜色维度（单色底）,四角,0,1,,1,4,0,0,0,1,true,0,0.027777777777777776,0.21599999999999997
A,符号型,web_locked,1.031678,5,8×8,1.5,12,,2,2 bit (4色),四角,0,1,,1,6,0.4116666666666667,0.2927777777777778,1,0,false,0,0.041666666666666664,0.324
A,符号型,web_locked,1.031678,5,8×8,2,16,,0,无颜色维度（单色底）,四角,0,1,,1,4,0,0,0,1,true,0,0.015625,0.1215
A,符号型,web_locked,1.031678,5,8×8,2,16,,2,2 bit (4色),四角,0,1,,1,6,0.3383333333333333,0.22666666666666666,1,0,false,0,0.0234375,0.18225
A,符号型,web_locked,1.031678,5,8×8,3,24,,0,无颜色维度（单色底）,四角,0,1,,1,4,0,0,0,1,true,0,0.006944444444444444,0.05399999999999999
A,符号型,web_locked,1.031678,5,8×8,3,24,,2,2 bit (4色),四角,0,1,,1,6,0.2733333333333333,0.16944444444444445,1,0,false,0,0.010416666666666666,0.081
A,符号型,web_locked,1.031678,5,8×8,5,40,,0,无颜色维度（单色底）,四角,0,1,,1,4,0,0,0,1,true,0,0.0025,0.01944
A,符号型,web_locked,1.031678,5,8×8,5,40,,2,2 bit (4色),四角,0,1,,1,6,0.20833333333333334,0.1272222222222222,0.9999999999998748,0,false,0,0.00375,0.029159999999999995
A,符号型,web_locked,1.031678,5,8×8,8,64,,0,无颜色维度（单色底）,四角,0,1,,1,4,0,0,0,1,true,0,0.0009765625,0.00759375
A,符号型,web_locked,1.031678,5,8×8,8,64,,2,2 bit (4色),四角,0,1,,1,6,0.051666666666666666,0.022222222222222223,0.5897181804841611,0,false,0,0.00146484375,0.011390625
A,符号型,web_locked,1.031678,5,8×8,13,104,,0,无颜色维度（单色底）,四角,0,1,,1,4,0,0,0,1,true,0,0.0003698224852071006,0.002875739644970414
A,符号型,web_locked,1.031678,5,8×8,13,104,,2,2 bit (4色),四角,0,1,,1,6,0.04833333333333333,0.01611111111111111,0.4795314938714472,0,false,0,0.0005547337278106509,0.0043136094674556215
A,符号型,web_auto,2.777352,13,4×4,1,4,,0,无颜色维度（单色底）,四角,0,1,,1,4,0.9233333333333333,0.9233333333333333,1,0,false,0,0.25,1.944
A,符号型,web_auto,2.777352,13,4×4,1,4,,2,2 bit (4色),四角,0,1,,1,6,0.9833333333333333,0.8505555555555555,1,0,false,0,0.375,2.916
A,符号型,web_auto,2.777352,13,4×4,1.5,6,,0,无颜色维度（单色底）,四角,0,1,,1,4,0.8933333333333333,0.8933333333333333,1,0,false,0,0.1111111111111111,0.8639999999999999
A,符号型,web_auto,2.777352,13,4×4,1.5,6,,2,2 bit (4色),四角,0,1,,1,6,0.9483333333333334,0.7877777777777778,1,0,false,0,0.16666666666666666,1.296
A,符号型,web_auto,2.777352,13,4×4,2,8,,0,无颜色维度（单色底）,四角,0,1,,1,4,0.7766666666666666,0.7766666666666666,1,0,false,0,0.0625,0.486
A,符号型,web_auto,2.777352,13,4×4,2,8,,2,2 bit (4色),四角,0,1,,1,6,0.9033333333333333,0.7111111111111111,1,0,false,0,0.09375,0.729
A,符号型,web_auto,2.777352,13,4×4,3,12,,0,无颜色维度（单色底）,四角,0,1,,1,4,0.42,0.42,1,0,false,0,0.027777777777777776,0.21599999999999997
A,符号型,web_auto,2.777352,13,4×4,3,12,,2,2 bit (4色),四角,0,1,,1,6,0.7833333333333333,0.58,1,0,false,0,0.041666666666666664,0.324
A,符号型,web_auto,2.777352,13,4×4,5,20,,0,无颜色维度（单色底）,四角,0,1,,1,4,0.043333333333333335,0.043333333333333335,0.8751847317867159,0,false,0,0.01,0.07776
A,符号型,web_auto,2.777352,13,4×4,5,20,,2,2 bit (4色),四角,0,1,,1,6,0.525,0.3283333333333333,1,0,false,0,0.015,0.11663999999999998
A,符号型,web_auto,2.777352,13,4×4,8,32,,0,无颜色维度（单色底）,四角,0,1,,1,4,0,0,0,1,true,0,0.00390625,0.030375
